Id;prob_treino;prob_resp
121;0,1;1
112;0,1;1
41;0,1;1
173;0,1;1
230;0,1;0
90;0,1;1
67;0,1;1
232;0,1;0
109;0,1;1
1;0,1;1
107;0,1;1
28;0,1;0
206;0,1;0
88;0,1;1
154;0,944106918;1
220;0,940602944;0
25;0,937079785;0
122;0,927533186;1
93;0,914822477;1
8;0,914065986;1
101;0,905711463;1
78;0,904258785;1
140;0,896719375;1
9;0,892916378;1
12;0,882069629;1
76;0,880560301;1
19;0,879033116;0
162;0,871396214;1
191;0,867595723;0
229;0,866449304;0
212;0,864286342;1
238;0,861303616;0
123;0,850362698;1
53;0,850306552;1
26;0,849863758;0
62;0,848577723;1
199;0,842128433;0
65;0,838162078;1
4;0,835113452;1
60;0,829924919;1
127;0,818218887;1
129;0,816690838;1
100;0,813256805;1
117;0,812163391;1
2;0,801290762;1
136;0,796787278;1
235;0,794912409;0
137;0,794821003;1
243;0,792221796;0
198;0,792173975;0
132;0,786724097;1
37;0,766702732;1
23;0,766548152;0
59;0,765327427;1
29;0,761731868;0
96;0,756123273;1
233;0,747330674;0
189;0,744057251;0
6;0,741761716;1
214;0,738210363;1
148;0,731121237;1
134;0,729002656;1
35;0,724429065;1
138;0,723840314;1
79;0,717940712;1
80;0,716442887;1
31;0,714617362;0
158;0,713616182;1
126;0,708735325;1
68;0,706854283;1
200;0,702179722;0
216;0,700497969;0
66;0,690135409;1
203;0,677428153;0
105;0,670191035;1
72;0,666725057;1
104;0,666158237;1
210;0,664222967;1
57;0,663321218;1
22;0,663058539;0
34;0,650845408;1
54;0,638946279;1
160;0,632610139;1
94;0,630945016;1
149;0,629673882;1
44;0,629481322;1
13;0,620212596;1
181;0,61922231;1
50;0,613156892;1
111;0,606823049;1
83;0,601323998;1
51;0,600671047;1
97;0,599347433;1
193;0,598393717;0
226;0,590153069;0
174;0,589475055;1
190;0,579595601;0
242;0,577639971;0
42;0,576835829;1
130;0,567131385;1
7;0,566804897;1
24;0,564977676;0
21;0,564949398;0
234;0,562187823;0
209;0,556872984;1
39;0,55457837;1
52;0,55056219;1
30;0,546427053;0
196;0,545728487;0
58;0,545348585;1
103;0,544594159;1
49;0,544172819;1
128;0,543741163;1
248;0,54337604;0
70;0,543295668;1
3;0,543276405;1
69;0,525659842;1
143;0,524043731;1
124;0,520763144;1
64;0,519935652;1
75;0,517060854;1
163;0,515237432;1
195;0,513364008;0
180;0,513337497;1
249;0,500653926;0
48;0,500087746;1
150;0,497035396;1
166;0,495432638;1
156;0,482020568;1
110;0,481281038;1
91;0,479822289;1
40;0,478750671;1
217;0,473978722;0
161;0,46482192;1
85;0,463360998;1
87;0,452829131;1
213;0,443747579;1
98;0,436919942;1
46;0,429341901;1
118;0,425493703;1
81;0,419649488;1
192;0,414714625;0
16;0,406007407;0
84;0,405249733;1
227;0,390828173;0
175;0,38895233;1
250;0,38561176;0
179;0,385227049;1
224;0,381480625;0
73;0,377355643;1
142;0,367893873;1
45;0,367750784;1
182;0,356032813;1
27;0,353129486;0
92;0,345456819;1
151;0,34234064;1
201;0,342157902;0
120;0,334226659;1
116;0,327596067;1
17;0,320040032;0
241;0,31054093;0
71;0,30899845;1
61;0,304049291;1
74;0,301247472;1
108;0,296446486;1
244;0,294537543;0
183;0,291958386;1
223;0,290872704;0
208;0,288872264;0
188;0,285510111;0
119;0,285102371;1
95;0,279463936;1
202;0,274956274;0
222;0,27482616;0
155;0,272935172;1
99;0,270929498;1
185;0,270416622;1
102;0,26844649;1
10;0,263504115;1
114;0,259981951;1
135;0,253352213;1
11;0,245970241;1
221;0,241189675;0
170;0,229571545;1
106;0,226663903;1
240;0,220909943;0
211;0,214662007;1
153;0,214594687;1
14;0,212747295;0
131;0,211409001;1
228;0,209601821;0
55;0,208601832;1
56;0,203847545;1
36;0,200810436;1
247;0,195632111;0
33;0,195371044;0
47;0,186771871;1
5;0,186633819;1
218;0,184359805;0
236;0,183525922;0
168;0,180115126;1
133;0,178977387;1
144;0,174795987;1
197;0,168943716;0
32;0,163396298;0
146;0,161369884;1
125;0,158630231;1
177;0,158225173;1
184;0,155428853;1
239;0,154318592;0
246;0,154138894;0
43;0,147466436;1
157;0,145790645;1
18;0,142556445;0
15;0,138281675;0
159;0,133985562;1
82;0,132831702;1
205;0,126270496;0
169;0,119168089;1
187;0,118315253;0
139;0,117653077;1
141;0,11572233;1
194;0,11518735;0
115;0,11300024;1
219;0,108540734;0
204;0,107053092;0
147;0,106039831;1
165;0,1038616;1
237;0,101847903;0
245;0,096692522;0
167;0,093045506;1
20;0,091099344;0
38;0,085461772;1
164;0,085322986;1
86;0,077365462;1
176;0,065468557;1
145;0,059704182;1
178;0,057700442;1
172;0,046061765;1
186;0,033599085;0
113;0,033229865;1
89;0,032242449;1
231;0,026698677;0
215;0,02479106;0
171;0,02041636;1
225;0,017361269;0
207;0,015994966;0
152;0,012498082;1
63;0,007854605;1
77;0,004422201;1
